BV号,出现时间,弹幕类型,字的大小,颜色,上传时间,uid,弹幕内容
BV1i34112729,26.65900,1,25,0xFFFFFF,2021-9-21,7cc82dd0,中秋佳节
BV1i34112729,78.83000,1,25,0xFFFFFF,2021-9-21,6c3406ef,中秋节快乐
BV1i34112729,82.05000,1,25,0xE70012,2021-9-21,83cfaf5f,中秋节快乐
BV1i34112729,64.53000,1,25,0xE70012,2021-9-21,83cfaf5f,快乐
BV1i34112729,36.37900,1,25,0xFFFFFF,2021-10-5,842dd6ce,冰冰
BV1i34112729,19.01900,1,25,0xFFFFFF,2021-10-3,9800d867,中秋快乐
BV1i34112729,26.81100,1,25,0xFFFFFF,2021-10-2,98972df8,中秋节快乐
BV1i34112729,6.63300,1,25,0xFFFFFF,2021-9-23,402a0a20,明月几时有
BV1i34112729,84.44200,1,25,0xFFFFFF,2021-9-23,ae669d3e,中秋节快乐
BV1i34112729,7.71500,1,25,0xFFFFFF,2021-9-23,803c20ed,好家伙
BV1i34112729,11.99500,1,25,0xFFFFFF,2021-9-23,e2fe6f3,月亮姐姐我的童年
BV1i34112729,39.72100,1,25,0xFFFFFF,2021-9-22,97d19542,啊啊啊
BV1i34112729,38.76600,1,25,0xFFFFFF,2021-9-22,691ca51d,爱了爱了
BV1i34112729,11.19900,1,25,0xE70012,2021-9-22,5227c94b,中秋节快乐
BV1i34112729,91.68600,1,25,0xFFFFFF,2021-9-22,2e620856,冰
BV1i34112729,42.16100,1,25,0xFFFFFF,2021-9-22,75884d34,666
BV1i34112729,21.94000,1,25,0xFFFFFF,2021-9-22,f16f328e,中秋节快乐
BV1i34112729,33.74400,1,25,0xFFFFFF,2021-9-22,428e959d,中秋节快乐
BV1i34112729,22.73900,1,25,0xFFFFFF,2021-9-22,2719f88a,中秋节快乐
BV1i34112729,82.49900,1,25,0xFFFFFF,2021-9-22,7637e0e3,月亮姐姐
BV1i34112729,15.09900,1,25,0xFFFFFF,2021-9-22,339e0093,中秋节快乐!
BV1i34112729,27.01900,1,25,0xFFFFFF,2021-9-22,17a43663,中秋节快乐．
BV1i34112729,35.85200,1,25,0xFFFFFF,2021-9-22,89151ef0,中秋节快乐
BV1i34112729,10.13900,1,25,0xFFFFFF,2021-9-22,3a17b063,中秋节快乐
BV1i34112729,31.22100,1,25,0xFFFFFF,2021-9-22,9a7d6c87,中秋节快乐
BV1i34112729,16.18200,1,25,0xFFFFFF,2021-9-22,3ceb04bc,月亮姐姐
BV1i34112729,10.72600,1,25,0xFFFFFF,2021-9-22,33daccd0,中秋节快乐
BV1i34112729,28.29900,1,25,0xFFFFFF,2021-9-22,47f7d9eb,月亮姐姐
BV1i34112729,25.89900,1,25,0xFFFFFF,2021-9-21,1dc984c,中秋节快乐
BV1i34112729,8.76500,1,25,0xFFFFFF,2021-9-21,e83713e7,中秋节快乐
BV1i34112729,10.72900,1,25,0xFFFFFF,2021-9-21,91b0f1a3,中秋节快乐
BV1i34112729,20.41300,1,25,0xFFFFFF,2021-9-21,43786060,中秋节快乐
BV1i34112729,25.53900,1,25,0xFFFFFF,2021-9-21,aa964429,中秋节快乐
BV1i34112729,80.38300,1,25,0xFFFFFF,2021-9-21,904eaba1,中秋节不会乐
BV1i34112729,12.01900,1,25,0xFFFFFF,2021-9-21,5063bd75,中秋节快乐
BV1i34112729,14.21900,1,25,0xFFFFFF,2021-9-21,af22dfad,中秋节快乐
BV1i34112729,31.38700,1,25,0xFFFFFF,2021-9-21,695da151,中秋节快乐
BV1i34112729,32.55100,1,25,0xFFFFFF,2021-9-21,3bbf9b8d,中秋节快乐
BV1i34112729,98.99800,1,25,0xFFFFFF,2021-9-21,f0e0e27c,好听
BV1i34112729,29.65900,1,25,0xFFFFFF,2021-9-21,2f90505d,中秋节快乐
BV1i34112729,33.14600,1,25,0xFFFFFF,2021-9-21,de65b9ba,中秋节快乐
BV1i34112729,27.07500,1,25,0xFFFFFF,2021-9-21,4c5557b8,中秋节快乐
BV1i34112729,13.69900,1,25,0xFFFFFF,2021-9-21,67790940,中秋节快乐
BV1i34112729,10.69900,1,25,0xFFFFFF,2021-9-21,4ec09ca7,中秋节快乐
BV1i34112729,5.16800,1,25,0xFFFFFF,2021-9-21,23b9f44b,三连再看
BV1i34112729,34.62200,1,25,0xFFFFFF,2021-9-21,4b7469a1,中秋节快乐
BV1i34112729,33.23300,1,25,0xFFFFFF,2021-10-2,c509e471,啊啊啊，爷青回
